Player,BPM
A.J. Price,-1.9500000000000002
Aaron Brooks,-1.3333333333333333
Aaron Gordon,-2.7
Aaron Gray,-4.166666666666667
Adonis Thomas,-6.2
Adreian Payne,-6.9
Al Harrington,-3.0333333333333337
Al Horford,3.1
Al Jefferson,2.6
Al-Farouq Aminu,-0.55
Alan Anderson,-2.275
Alec Burks,-1.775
Alex Kirk,-6.0
Alex Len,-4.2
Alexey Shved,-0.23333333333333325
Alexis Ajinça,-1.45
Allen Crabbe,-3.4499999999999997
Alonzo Gee,-1.9249999999999998
Amar'e Stoudemire,-0.275
Amir Johnson,0.27499999999999997
Anderson Varejão,1.7000000000000002
Andray Blatche,-0.8666666666666666
Andre Dawkins,-12.8
Andre Drummond,1.2666666666666666
Andre Emmett,-1.5
Andre Iguodala,2.4499999999999997
Andre Miller,-0.175
Andre Roberson,-1.5499999999999998
Andrea Bargnani,-1.25
Andrei Kirilenko,-0.8666666666666667
Andrew Bogut,1.8250000000000002
Andrew Bynum,0.5
Andrew Goudelock,-10.45
Andrew Nicholson,-4.233333333333333
Andrew Wiggins,-2.4
Andris Biedriņš,-3.8333333333333335
Andrés Nocioni,-12.9
Antawn Jamison,-1.7000000000000002
Anthony Bennett,-5.65
Anthony Carter,-3.0
Anthony Davis,5.3999999999999995
Anthony Morrow,-0.7000000000000002
Anthony Parker,-1.7
Anthony Randolph,-1.5
Anthony Tolliver,-1.775
Archie Goodwin,-3.3
Arinze Onuaku,-1.9000000000000001
Armon Johnson,-1.7
Arnett Moultrie,-4.25
Aron Baynes,-4.833333333333333
Arron Afflalo,-1.375
Austin Daye,-3.1499999999999995
Austin Rivers,-4.133333333333333
Avery Bradley,-2.375
Baron Davis,-2.1
Ben Gordon,-3.825
Ben Hansbrough,-4.2
Ben McLemore,-3.1
Ben Uzoh,-1.1
Ben Wallace,0.6
Beno Udrih,-1.2
Bernard James,-1.9000000000000001
Bismack Biyombo,-2.8249999999999997
Blake Ahearn,-19.5
Blake Griffin,4.075
Bobby Simmons,-3.6
Bojan Bogdanović,-1.7
Boris Diaw,-0.024999999999999994
Brad Miller,-1.0
Bradley Beal,-0.03333333333333333
Brandan Wright,3.325
Brandon Bass,-1.0
Brandon Davies,-5.4
Brandon Jennings,1.8
Brandon Knight,-1.0750000000000002
Brandon Roy,-4.2
Brandon Rush,-3.05
Brendan Haywood,-4.733333333333333
Brian Cardinal,-5.2
Brian Cook,-7.6
Brian Roberts,-1.3333333333333333
Brian Scalabrine,1.6
Brian Skinner,-15.5
Brook Lopez,2.175
Bruno Caboclo,-18.2
Bryce Cotton,-2.2
Byron Mullens,-3.233333333333333
C.J. Miles,0.65
C.J. Watson,0.8
C.J. Wilcox,-4.9
CJ McCollum,-2.0
Cameron Bairstow,-9.0
Carl Landry,-1.45
Carldell Johnson,-1.5
Carlos Boozer,-0.3
Carlos Delfino,0.6499999999999999
Carmelo Anthony,3.975
Caron Butler,-1.5999999999999999
Carrick Felix,-3.4
Cartier Martin,-2.925
Casper Ware,-2.4
Chandler Parsons,1.525
Channing Frye,0.03333333333333336
Charles Jenkins,-4.550000000000001
Charlie Villanueva,-0.3999999999999999
Chase Budinger,-1.125
Chauncey Billups,-1.4666666666666668
Chris Andersen,1.1
Chris Babb,-6.1
Chris Bosh,1.05
Chris Copeland,0.09999999999999994
Chris Douglas-Roberts,-3.6999999999999997
Chris Duhon,-2.35
Chris Johnson,-1.2
Chris Kaman,-1.4749999999999999
Chris Paul,8.65
Chris Quinn,-9.2
Chris Singleton,-3.6999999999999997
Chris Smith,-9.7
Chris Wilcox,-1.05
Chris Wright,-6.466666666666666
Christian Eyenga,-5.6
Chuck Hayes,-1.8
Cleanthony Early,-5.2
Clint Capela,-5.4
Cody Zeller,-1.3
Cole Aldrich,-0.02499999999999998
Corey Brewer,-0.22499999999999998
Corey Maggette,-4.9
Cory Higgins,-6.85
Cory Jefferson,-3.0
Cory Joseph,-0.775
Courtney Fortson,-4.3
Courtney Lee,-0.024999999999999994
Craig Brackins,-9.0
Craig Smith,-1.5
D.J. Augustin,-0.7250000000000001
D.J. Kennedy,-6.7
D.J. Stephens,1.7
D.J. White,-3.4333333333333336
DaJuan Summers,-6.050000000000001
Daequan Cook,-3.05
Dahntay Jones,-5.233333333333333
Damian Lillard,2.733333333333333
Damien Wilkins,-3.1
Damion James,1.0999999999999999
Damjan Rudež,-2.3
Dan Gadzuric,-15.7
Daniel Gibson,-2.8
Daniel Orton,-3.3666666666666667
Danilo Gallinari,2.3333333333333335
Danny Granger,-2.775
Danny Green,3.4
Dante Cunningham,-0.975
Dante Exum,-4.3
Darington Hobson,-13.0
Darius Johnson-Odom,-24.15
Darius Miller,-5.6000000000000005
Darius Morris,-5.725
Darko Miličić,-20.9
Darrell Arthur,-2.433333333333333
Darren Collison,0.875
Darryl Watkins,-4.0
David Lee,0.9249999999999999
David Stockton,-3.9
David Wear,-9.4
David West,2.5
DeAndre Jordan,1.325
DeAndre Liggins,12.1
DeJuan Blair,-2.85
DeMar DeRozan,-0.8249999999999998
DeMarcus Cousins,2.2249999999999996
DeMarre Carroll,0.45
DeQuan Jones,-4.5
DeSagana Diop,-5.25
DeShawn Stevenson,-3.4000000000000004
Delonte West,1.0
Dennis Horner,-8.1
Dennis Schröder,-4.3
Derek Fisher,-2.433333333333333
Deron Williams,1.875
Derrick Brown,-1.5
Derrick Byars,-4.7
Derrick Favors,0.25
Derrick Rose,0.9
Derrick Williams,-1.925
Devin Ebanks,-5.95
Devin Harris,0.44999999999999996
Devyn Marble,-4.8
Dewayne Dedmon,-4.1
Dexter Pittman,-16.366666666666667
Diante Garrett,-4.5
Dion Waiters,-2.3000000000000003
Dionte Christmas,-1.8
Dirk Nowitzki,3.5
Dominic McGuire,-1.5499999999999998
Dominique Jones,-2.65
Donald Sloan,-2.85
Donatas Motiejūnas,-2.6
Donté Greene,-2.4
Dorell Wright,1.55
Doron Lamb,-5.949999999999999
Doug McDermott,-6.0
Draymond Green,0.6
Drew Gooden,-1.6749999999999998
Drew Gordon,-9.5
Dwight Buycks,-3.0
Dwight Howard,1.5749999999999997
Dwight Powell,-1.0
Dwyane Wade,4.325
E'Twaun Moore,-1.9499999999999997
Earl Barron,-10.533333333333333
Earl Boykins,-4.0
Earl Clark,-3.6750000000000003
Earl Watson,-3.866666666666667
Ed Davis,0.050000000000000044
Eddy Curry,-13.350000000000001
Eduardo Nájera,-2.9
Edwin Ubiles,-3.9
Ekpe Udoh,-2.3
Elfrid Payton,-1.2
Elias Harris,0.3
Elijah Millsap,-3.1
Elliot Williams,-2.8333333333333335
Elton Brand,-0.775
Emeka Okafor,-0.6
Enes Kanter,-2.4
Eric Bledsoe,1.775
Eric Dawson,-5.9
Eric Gordon,-0.25
Eric Maynor,-4.3999999999999995
Eric Moreland,17.2
Erick Dampier,-4.7
Erick Green,-4.3
Erik Murphy,-8.6
Ersan İlyasova,0.55
Evan Fournier,-2.033333333333333
Evan Turner,-1.9749999999999999
Fab Melo,-7.6
Festus Ezeli,-2.6
Francisco Elson,-2.5
Francisco García,-1.2
Furkan Aldemir,-3.6
Gal Mekel,-9.45
Garrett Temple,-1.5666666666666667
Gary Forbes,-1.0
Gary Harris,-5.3
Gary Neal,-2.125
George Hill,3.125
Gerald Green,-0.15000000000000002
Gerald Henderson,-1.6750000000000003
Gerald Wallace,-0.55
Giannis Antetokounmpo,-1.25
Gigi Datome,-2.4
Gilbert Arenas,-1.3
Glen Davis,-2.675
Glen Rice Jr.,-9.4
Glenn Robinson III,-5.4
Goran Dragić,1.9999999999999998
Gordon Hayward,2.075
Gorgui Dieng,-0.45000000000000007
Grant Hill*,-3.25
Grant Jerrett,-10.8
Greg Monroe,1.7
Greg Oden,-4.8
Greg Smith,-1.625
Greg Stiemsma,-2.275
Greivis Vásquez,-0.7
Gustavo Ayón,-0.1333333333333333
Hakim Warrick,-3.75
Hamady N'Diaye,-14.450000000000001
Hamed Haddadi,-3.8
Harrison Barnes,-1.0666666666666667
Hasheem Thabeet,-4.233333333333333
Hassan Whiteside,1.2499999999999998
Hedo Türkoğlu,-2.275
Henry Sims,-2.066666666666667
Henry Walker,-2.05
Hilton Armstrong,-0.1
Hollis Thompson,-2.5
Ian Clark,-3.1
Ian Mahinmi,-2.375
Ike Diogu,-12.3
Iman Shumpert,-1.1
Isaiah Canaan,-2.4
Isaiah Thomas,1.925
Ish Smith,-1.9749999999999999
Ivan Johnson,-1.9000000000000001
J.J. Barea,-1.1500000000000001
J.J. Hickson,-1.4249999999999998
J.J. Redick,0.8999999999999999
J.R. Smith,0.9750000000000001
JaJuan Johnson,-3.9
JaKarr Sampson,-4.2
JaMychal Green,-1.3
JaVale McGee,-1.875
Jabari Brown,-4.3
Jabari Parker,-0.5
Jack Cooley,-5.7
Jae Crowder,-0.10000000000000002
Jamaal Franklin,-5.75
Jamaal Magloire,-7.6
Jamaal Tinsley,-4.1000000000000005
Jamal Crawford,0.7750000000000001
Jamario Moon,-7.3
Jameer Nelson,-0.8500000000000001
James Anderson,-1.8999999999999997
James Ennis,-1.5
James Harden,6.074999999999999
James Johnson,1.225
James Jones,-0.12499999999999994
James Michael McAdoo,-2.3
James Nunnally,-5.4
James Singleton,1.7
James Southerland,-2.7
James White,-3.1
James Young,-3.4
Jan Veselý,-2.8000000000000003
Jannero Pargo,-0.04999999999999977
Jared Cunningham,-4.566666666666666
Jared Dudley,0.22499999999999995
Jared Jeffries,-4.2
Jared Sullinger,-0.7333333333333333
Jarnell Stokes,-1.1
Jarrett Jack,-0.275
Jarvis Varnado,-5.9
Jason Collins,-6.5
Jason Kapono,-4.6
Jason Kidd*,2.45
Jason Maxiell,-3.5
Jason Richardson,-0.3666666666666667
Jason Smith,-2.3499999999999996
Jason Terry,-0.44999999999999996
Jason Thompson,-2.375
Jeff Adrien,-2.65
Jeff Ayres,-2.0250000000000004
Jeff Foote,-10.8
Jeff Foster,-0.6
Jeff Green,-0.6666666666666666
Jeff Taylor,-4.633333333333334
Jeff Teague,1.1
Jeff Withey,-0.15
Jerami Grant,-3.3
Jerel McNeal,-9.1
Jeremy Evans,2.625
Jeremy Lamb,-1.2333333333333336
Jeremy Lin,0.8749999999999999
Jeremy Pargo,-5.4
Jeremy Tyler,-7.3999999999999995
Jermaine O'Neal,-1.7333333333333332
Jerome Dyson,-3.6
Jerome Jordan,-0.7
Jerrelle Benimon,-13.0
Jerry Smith,-2.0
Jerry Stackhouse,-2.3
Jerryd Bayless,-0.525
Jimmer Fredette,-2.2
Jimmy Butler,1.5999999999999999
Joakim Noah,3.65
Jodie Meeks,-0.575
Joe Harris,-5.6
Joe Ingles,-1.2
Joe Johnson,0.55
Joel Anthony,-1.5999999999999999
Joel Freeland,-3.533333333333333
Joel Przybilla,-6.4
Joey Dorsey,-3.1
