"","PLAYER","Play_Yrs","Games","Year","Pick","CLASS","CONF","BPM","ORTG","USG","EFG","TS","OR","DR","AST","TO","BLK","STL","FTR","FT_PERC","X2P_PERC","X3PR","X3P_PERC","HEIGHT_IN"
"1","Karl-Anthony Towns",4,256,2015,1,"Fr","SEC",13.1,122.7,24.2,57,62.7,14.1,22.2,11.5,16.6,11.4,1.4,52.3,0.813,0.577,3.1,0.25,83
"2","D'Angelo Russell",4,201,2015,2,"Fr","B10",10.9,113.6,29.9,54.1,57.3,3.6,15.4,30.1,17.3,1.1,2.8,30.3,0.756,0.479,44.9,0.411,77
"3","Jahlil Okafor",4,137,2015,3,"Fr","ACC",9.5,116.4,27.6,66.4,64.1,14.8,18.2,9.4,18.2,4.5,1.5,46.2,0.51,0.664,0,0,83
"5","Willie Cauley-Stein",4,224,2015,6,"Jr","SEC",11.3,115.8,18.3,57.2,58.8,11.1,17.3,7.4,16.2,7.1,2.9,54.2,0.617,0.572,0,0,85
"7","Stanley Johnson",4,226,2015,8,"Fr","P12",8.4,108,26,50.1,55.1,8.9,19.1,11.6,17.4,1.6,3.2,45.6,0.742,0.478,29.7,0.371,78
"8","Frank Kaminsky",4,239,2015,9,"Sr","B10",15.4,126.2,28.1,59,62.8,6,25.7,18.4,11.5,4.5,1.7,41,0.78,0.581,20.7,0.416,85
"9","Justise Winslow",4,168,2015,10,"Fr","ACC",9,112.2,22.4,55.1,57.2,5.4,19.8,13.2,16.8,2.9,2.8,43.8,0.641,0.516,30.9,0.418,78
"10","Myles Turner",4,216,2015,11,"Fr","B12",8.5,109.4,23.8,48.8,55.6,7.2,24.9,6.2,16.6,12.3,0.8,43.6,0.839,0.513,24.1,0.274,83
"11","Trey Lyles",4,233,2015,12,"Fr","SEC",6.7,112.6,20.6,49.6,54.3,9.9,16.1,9.2,15,2.1,1.4,42.5,0.735,0.536,12.1,0.138,82
"12","Devin Booker",4,214,2015,13,"Fr","SEC",8.2,121,20.5,57.1,60,2.6,7.8,10.9,13.8,0.3,1.3,22.3,0.828,0.527,49.1,0.411,78
"13","Cameron Payne",4,123,2015,14,"So","OVC",10.3,118.8,31.3,52.9,56.7,2.3,10.7,39.8,14.9,1.6,3.2,31.3,0.783,0.507,42.8,0.373,74
"14","Kelly Oubre",4,232,2015,15,"Fr","B12",7.7,108.7,22,51.2,55.5,6.4,19.2,8.1,15.4,1.8,3.3,44.4,0.718,0.497,38.3,0.358,79
"15","Terry Rozier",4,202,2015,16,"So","ACC",8.5,105.9,26.8,45.7,50.9,3.8,13.9,19.7,14.1,0.5,3.5,33.8,0.79,0.456,30.1,0.306,73
"16","Sam Dekker",4,161,2015,18,"Jr","B10",9.5,125.8,22.4,58.6,60.5,8.4,14.8,8.6,8.7,1.5,1.1,27.8,0.708,0.639,37.2,0.331,81
"17","Jerian Grant",4,222,2015,19,"Sr","ACC",8.4,122.2,25.6,53.6,59.2,1.3,8.3,33.5,14.2,1.4,2.8,51.1,0.78,0.572,37,0.316,77
"18","Delon Wright",4,128,2015,20,"Sr","P12",14.7,125.2,24.2,54.5,61.7,4.1,13.6,32.8,15.4,3.2,3.9,57.1,0.835,0.549,22.9,0.356,77
"19","Bobby Portis",4,203,2015,22,"So","SEC",8.4,118.9,25.7,55.2,58.2,13.6,20.2,8.8,11.5,4.8,2.1,33.5,0.737,0.541,6.4,0.467,82
"20","Rondae Hollis-Jefferson",4,182,2015,23,"So","P12",8.2,113.8,20.9,51.3,57.3,9,20.1,10.1,15.5,3.4,2.4,74.5,0.707,0.537,10.5,0.207,79
"21","Tyus Jones",4,188,2015,24,"Fr","ACC",8.4,121.8,19.9,48.9,57.5,1.8,9.9,27.5,17.4,0.2,2.7,50,0.889,0.44,38.3,0.379,73
"22","Jarell Martin",4,146,2015,25,"So","SEC",4,106.5,24.6,52.6,56.5,9.7,18.1,10.5,18.4,1.8,1.9,51.1,0.69,0.545,13.1,0.269,81
"23","Larry Nance Jr.",4,199,2015,27,"Sr","MWC",6.4,106.3,27.9,52.7,57.7,6.2,20.5,19.7,15.9,4.3,2.3,41.5,0.785,0.529,11.8,0.341,80
"24","Kevon Looney",4,134,2015,30,"Fr","P12",6.3,113,20,50.5,53.2,12.2,21,9.1,11.9,3.3,2.5,45.8,0.626,0.481,16.5,0.415,81
"25","Montrezl Harrell",4,182,2015,32,"Jr","ACC",8.6,113.7,22.6,57.8,58.8,10,19.1,9.2,15.1,3.7,1.6,50.8,0.597,0.602,9.8,0.243,80
"26","Richaun Holmes",4,164,2015,37,"Sr","MAC",8.7,115.8,25.1,59.3,62.3,11.5,21,7.2,16.5,11.3,1.5,50.7,0.711,0.586,15.4,0.419,80
"27","Josh Richardson",4,194,2015,40,"Sr","SEC",7.5,110.7,25.3,51.9,56,2.9,13.2,24.4,18.9,2,3.8,31.1,0.798,0.509,32.1,0.359,78
"28","Pat Connaughton",4,161,2015,41,"Sr","ACC",6.9,120.4,16.7,59.7,61.5,4.2,20.4,7.6,12.2,2.7,1.3,18,0.781,0.537,61.8,0.423,77
"29","Norman Powell",4,205,2015,46,"Sr","P12",5.5,104.9,24,49.7,54,1.9,13.3,12.8,15.8,1.5,3.2,36.2,0.751,0.503,25.5,0.319,76
