,X,PLAYER,Play_Yrs,Games,Year,Pick,CLASS,CONF,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,FT_PERC,X2P_PERC,X3PR,X3P_PERC,HEIGHT_IN,BPM
1,1,Blake Griffin,9,537,2009,1,So,B12,117.6,31.1,65.7,64.8,14.2,32.2,16.3,18.2,3.6,1.9,70.6,0.59,0.659,1.7,0.375,82,3.46666666666667
2,2,Hasheem Thabeet,5,224,2009,2,Jr,BE,118.7,19.4,64.4,64.8,13.4,21.7,3,17.5,11.9,1.2,78.3,0.627,0.644,0,0,87,-3.075
3,3,James Harden,10,692,2009,3,So,P12,112.8,32.6,55.3,60.7,5.5,14.6,29.2,19,1.1,3.1,59.7,0.756,0.564,36.1,0.356,77,3.075
4,4,Tyreke Evans,10,534,2009,4,Fr,CUSA,101.8,33,48.9,52.9,5,15.3,30,21.8,2.8,4.2,38.4,0.711,0.514,24.6,0.274,78,0.625
5,6,Stephen Curry,10,635,2009,7,Jr,SC,118,37.5,54.9,60.5,1.8,12.3,39.8,16.6,0.7,3.9,36.1,0.88,0.518,49,0.388,75,3.175
6,7,Jordan Hill,8,409,2009,8,Jr,P12,108.9,28,53.7,56,15.4,22.2,9.6,17.5,5.6,1.5,38.2,0.654,0.537,0,0,82,-2.725
7,8,DeMar DeRozan,10,684,2009,9,Fr,P12,108.2,22.3,53.1,55.5,9.3,11.6,9.6,17.1,1.2,1.6,40.1,0.646,0.562,9.8,0.167,79,-2.35
8,10,Terrence Williams,4,153,2009,11,Sr,BE,108.1,21.3,50.4,51.7,4.5,22.7,27,18.4,2.3,4,29.8,0.581,0.459,37.8,0.385,78,-3.15
9,11,Gerald Henderson,8,535,2009,12,Jr,ACC,110.6,27.2,49.4,54.2,4.7,14.4,18,15.4,2.4,2.4,39.7,0.761,0.49,25.8,0.336,77,-2.025
10,12,Tyler Hansbrough,7,428,2009,13,Sr,ACC,124.7,26.5,52.4,61.3,10.7,16.6,5.9,12.2,1.1,2.2,68.2,0.841,0.521,5.3,0.391,81,-2.225
11,13,Earl Clark,6,261,2009,14,Jr,BE,100.3,24.6,49.2,51.7,9.1,18.7,18.2,22,4.1,1.7,31.4,0.647,0.493,21.5,0.326,81,-3.725
12,14,Austin Daye,6,293,2009,15,So,WCC,102.6,24.4,53.6,56.2,4.7,22.1,8.1,18.9,8.1,1.6,32.4,0.692,0.49,24.9,0.45,83,-1.925
13,15,James Johnson,9,547,2009,16,So,ACC,113.5,22.2,57.4,59.3,9.6,19.2,12.3,18.5,5,2.5,28.7,0.697,0.598,20,0.319,80,-1.25
14,16,Jrue Holiday,10,594,2009,17,Fr,P12,107.2,20.5,50.4,53.1,6,11.8,23.8,23.4,2.1,3.5,24.9,0.726,0.528,35.3,0.307,75,2.77555756156289e-17
15,17,Ty Lawson,8,551,2009,18,Jr,ACC,133.7,22.7,59.8,65.3,2.3,7.6,35.7,14.9,0.4,3.8,61.6,0.8,0.555,31.2,0.462,71,2.1
16,18,Jeff Teague,10,677,2009,19,So,ACC,113.1,26.2,54.6,61.5,1.7,8.6,20.2,21,2,3.1,59,0.817,0.502,27.5,0.441,74,-0.375
17,19,Eric Maynor,5,267,2009,20,Sr,CAA,117.3,32.6,52.4,58.3,1.6,10,40.8,15.4,0.5,2.9,45.3,0.815,0.516,34.1,0.361,74,-2.7
18,20,Darren Collison,10,642,2009,21,Sr,P12,120.7,23.7,56.8,62.4,1.9,7.9,28.4,20.2,0.5,3.1,36.6,0.897,0.558,30.2,0.394,73,-0.3
19,22,Byron Mullens,5,189,2009,24,Fr,B10,106.2,23.2,63.8,62.9,11.6,17.1,3.3,20.9,6.8,1.5,49.5,0.559,0.642,0.5,0,85,-7.875
20,24,Taj Gibson,10,677,2009,26,Jr,P12,117.1,21.5,60.1,62.1,13.4,19,8.2,17.4,9.5,1.8,57.6,0.659,0.601,0,0,81,-0.8
21,25,DeMarre Carroll,9,487,2009,27,Sr,B12,118.8,25.1,57.6,59.1,9.3,18.6,15.2,11.5,2.4,3.1,43.3,0.634,0.579,10,0.364,80,-2.075
22,26,Wayne Ellington,10,593,2009,28,Jr,ACC,123.7,20.4,57.5,60.1,5.4,10.9,14.8,13.9,0.5,1.5,25.7,0.777,0.534,45.9,0.415,76,-2.575
23,27,Toney Douglas,8,394,2009,29,Sr,ACC,115.7,27.6,52.5,58.1,2.7,9.1,20.2,14.6,1.3,2.9,43.3,0.81,0.489,41.2,0.385,73,-1.525
24,29,Dante Cunningham,10,660,2009,33,Sr,BE,109,24.7,52.5,55.7,9.5,17,8.8,15.8,4.8,2.2,38.3,0.697,0.527,0.4,0,81,-1.425
25,30,DaJuan Summers,4,83,2009,35,Jr,BE,104.5,24.4,56.4,59.8,5.3,11.5,9.7,22.4,2.5,2.4,47.1,0.713,0.552,46.7,0.385,80,-6.7
